CATEGORÍA,CÓDIGO DE VEHÍCULO,TIPO TRANSACCIÓN,MARCA,MODELO,PAÍS,AÑO MODELO,CLASE,SUB CLASE,TIPO,AVALÚO,FECHA PROCESO (DD/MM/AA),TIPO SERVICIO,CILINDRAJE,TIPO COMBUSTIBLE,FECHA COMPRA (DD/MM/AA),CANTÓN,COLOR 1,COLOR 2,PERSONA NATURAL - JURÍDICA
986481,9503397,COMPRA LOCAL,SDAC WEICHAI,K1-3300 AC 2.3 2P 4X2 TM DIESEL,CHINA POPULAR,2025,CAMION,PLATAFORMA-C,PESADO,28015,12/9/2024,PAR,2290,DIESEL,10/31/2024,10701,BLA,,JURIDICA
986462,9809390,COMPRA LOCAL,TUKO,TK CR5 GT 4V,CHINA POPULAR,2025,MOTOCICLETA,PASEO,LIVIANO,2750,12/28/2024,PAR,250,GASOLINA,12/26/2024,20115,ROJ,,NATURAL
986460,9682461,COMPRA LOCAL,HINO,XZU730L-WKFRL3 AC 4.0 2P 4X2 TM DIESEL,COLOMBIA,2025,CAMION,CAJON-C,PESADO,45490,12/2/2024,PAR,4009,DIESEL,11/30/2024,10911,BLA,,JURIDICA
986448,9541458,COMPRA LOCAL,HINO,XZU710L-WKFQL3 BLINDADO AC 4.0 2P 4X2 TM DIESEL,COLOMBIA,2025,ESPECIAL,BLINDADO,PESADO,89245.25,10/1/2024,PAR,4009,DIESEL,9/30/2024,10901,BLA,,JURIDICA
986159,9641687,COMPRA LOCAL,HYUNDAI,HD78 BARE MICROBUS AC 3.9 2P 4X2 TM DIESEL,ECUADOR,2025,OMNIBUS,BUS,PESADO,45990,9/30/2024,ALQ,3907,DIESEL,9/6/2024,20606,PLA,ANA,NATURAL
985868,9806057,COMPRA LOCAL,PORSCHE,CAYENNE E-HYBRID COUPE AC 3.0 5P 4X4 TA HYBRID,ESLOVAQUIA,2025,JEEP,HIBRIDO-J,LIVIANO,133990,12/19/2024,PAR,2995,HIBRIDO_GASOLINA_BATERIAS,12/19/2024,10901,PLO,PLO,JURIDICA
985860,9818591,COMPRA LOCAL,HYUNDAI,TUCSON NX4E L AC 2.0 5P 4X2 TM,REPUBLICA CHECA,2025,JEEP,JEEP,LIVIANO,27890,12/30/2024,PAR,1999,GASOLINA,12/30/2024,21801,BLA,,NATURAL
985760,9544835,COMPRA LOCAL,HINO,FS1ELSD-MAX AC 12.9 2P 6X4 TM DIESEL,JAPON,2025,VOLQUETA,VOLQUETA,PESADO,159750,10/25/2024,ALQ,12913,DIESEL,10/24/2024,21101,AMA,,NATURAL
985760,9544836,COMPRA LOCAL,HINO,FS1ELSD-MAX AC 12.9 2P 6X4 TM DIESEL,JAPON,2025,VOLQUETA,VOLQUETA,PESADO,159750,10/25/2024,ALQ,12913,DIESEL,10/24/2024,31905,AMA,,NATURAL
985758,9810780,COMPRA LOCAL,RENAULT,125FY,CHINA POPULAR,2025,MOTOCICLETA,PASEO,LIVIANO,946.15,12/26/2024,PAR,125,GASOLINA,12/24/2024,10701,NEG,,NATURAL
